INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
магнитагорск	магнитогорске	авито магнитагорск строительные леса в аренду	авито магнитогорске строительные леса в аренду	no	99.99%
магнитки	магнит	50 лет магнитки 31	50 лет магнит 31	no	98.74%
loriblue	loriblu	loriblue туфли	loriblu туфли	yes	99.57%
kfr	лак	gree kfr	gree лак	yes	82.09%
амартизаторы	амортизатор	амартизаторы ман	амортизатор ман	yes	99.99%
aqua	asus	aqua di gioia	asus di gioia	no	99.86%
xaomi	xiaomi	xaomi tv	xiaomi tv	yes	96.74%
жилет	лет	wrangler жилет	wrangler лет	no	99.93%
posh	bosh	posh	bosh	no	97.04%
boch	bosch	villeroy boch villeroy boch	villeroy bosch villeroy bosch	yes	99.99%
windbot	windboat	windbot	windboat	no	70.39%
блет	билет	блет	билет	yes	99.73%
бочок	бачок	бочок с подогревом	бачок с подогревом	no	50.23%
c-класс	класс	mersedes-benz c-класс 1999	mersedes-benz класс 1999	yes	78.12%
yamaxa	yamaha	yamaxa wr 450	yamaha wr 450	yes	99.99%
lander	sandero	x lander колеса	x sandero колеса	no	97.43%
апарат	аппарат	апарат для маникюра б у	аппарат для маникюра б у	yes	88.06%
xiomi	xiaomi	xiomi redmi not 4	xiaomi redmi not 4	yes	69.15%
tayota	toyota	tayota avalon	toyota avalon	yes	99.65%
програмист	программиста	1c програмист	1c программиста	yes	99.98%
эксковаторы	экскаваторы	б у эксковаторы е к	б у экскаваторы е к	yes	99.96%
амартизаторы	амортизатора	амартизаторы задний ваз	амортизатора задний ваз	no	80.85%
coole	cooler	coole master	cooler master	yes	95.73%
басеин	бассейн	басеин купить	бассейн купить	yes	99.92%
mag	max	mag m 150	max m 150	yes	50.66%
kumxo	kumho	kumxo 798	kumho 798	yes	81.71%
фолсваген	фольксваген	масло акп для фолсваген	масло акп для фольксваген	yes	99.92%
s-класс	класс	mercedes-benz s-класс 1999	mercedes-benz класс 1999	no	97.31%
тестер	мастер	my name тестер	my name мастер	no	99.96%
toyo	toyota	305 40 22 toyo	305 40 22 toyota	no	99.99%
антены	антенн	антены телевизионные прокладка кабеля	антенн телевизионные прокладка кабеля	no	99.98%
vfljyyf	мадонна	vfljyyf	мадонна	yes	99.97%
nord	ford	gislaved nord frost 3	gislaved ford frost 3	no	96.73%
чугуные	чугунный	б у чугуные батареи	б у чугунный батареи	no	99.98%
обьявления	объявлении	бесплатные обьявления волгоград	бесплатные объявлении волгоград	no	88.27%
ymaha	yamaha	ymaha fg800	yamaha fg800	yes	99.99%
амартизаторы	амортизатор	амартизаторы прадо	амортизатор прадо	yes	98.66%
асы	часы	асы дом	часы дом	yes	52.68%
номерная	номера	fendi номерная	fendi номера	no	77.56%
